Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value,clean_value
2022,DEC,STATE,27,6,TOTAL,"70,252,000",70252000
2022,DEC,STATE,34,6,TOTAL,"5,967,000",5967000
2022,DEC,STATE,35,6,TOTAL,"83,452,000",83452000
2022,DEC,STATE,36,6,TOTAL,"66,828,000",66828000
2022,DEC,STATE,39,6,TOTAL,"23,219,000",23219000
2022,DEC,STATE,,6,TOTAL,"216,752,000",216752000
2022,DEC,STATE,42,6,TOTAL,"39,896,000",39896000
2022,DEC,STATE,46,6,TOTAL,"44,209,000",44209000
2022,DEC,STATE,50,6,TOTAL,"12,909,000",12909000
2022,DEC,STATE,55,6,TOTAL,"298,496,000",298496000
2022,FEB,STATE,6,6,TOTAL,"199,386,000",199386000
2022,FEB,STATE,16,6,TOTAL,"73,069,000",73069000
2022,FEB,STATE,17,6,TOTAL,"5,864,000",5864000
2022,FEB,STATE,19,6,TOTAL,"30,484,000",30484000
2022,FEB,STATE,27,6,TOTAL,"62,930,000",62930000
2022,FEB,STATE,34,6,TOTAL,"4,555,000",4555000
2022,FEB,STATE,35,6,TOTAL,"75,934,000",75934000
2022,FEB,STATE,36,6,TOTAL,"62,892,000",62892000
2022,FEB,STATE,39,6,TOTAL,"20,307,000",20307000
2022,FEB,STATE,,6,TOTAL,"194,327,000",194327000
2022,FEB,STATE,42,6,TOTAL,"35,915,000",35915000
2022,FEB,STATE,46,6,TOTAL,"42,257,000",42257000
2022,FEB,STATE,50,6,TOTAL,"11,427,000",11427000
2022,FEB,STATE,55,6,TOTAL,"272,400,000",272400000
2022,JAN,STATE,6,6,TOTAL,"191,040,000",191040000
2022,JAN,STATE,16,6,TOTAL,"87,483,000",87483000
2022,JAN,STATE,17,6,TOTAL,"6,268,000",6268000
2022,JAN,STATE,19,6,TOTAL,"33,242,000",33242000
2022,JAN,STATE,27,6,TOTAL,"67,796,000",67796000
2022,JAN,STATE,34,6,TOTAL,"5,109,000",5109000
2022,JAN,STATE,35,6,TOTAL,"84,056,000",84056000
2022,JAN,STATE,36,6,TOTAL,"71,222,000",71222000
2022,JAN,STATE,39,6,TOTAL,"22,938,000",22938000
2022,JAN,STATE,41,6,TOTAL,"20,120,000",20120000
2022,JAN,STATE,,6,TOTAL,"215,862,000",215862000
2022,JAN,STATE,42,6,TOTAL,"37,256,000",37256000
2022,JAN,STATE,46,6,TOTAL,"47,154,000",47154000
2022,JAN,STATE,50,6,TOTAL,"12,336,000",12336000
2022,JAN,STATE,55,6,TOTAL,"296,516,000",296516000
2022,JUL,STATE,6,6,TOTAL,"210,742,000",210742000
2022,JUL,STATE,16,6,TOTAL,"85,926,000",85926000
2022,JUL,STATE,17,6,TOTAL,"5,688,000",5688000
2022,JUL,STATE,19,6,TOTAL,"31,510,000",31510000
2022,JUL,STATE,27,6,TOTAL,"67,321,000",67321000
2022,JUL,STATE,34,6,TOTAL,"5,259,000",5259000
2022,JUL,STATE,35,6,TOTAL,"79,163,000",79163000
2022,JUL,STATE,36,6,TOTAL,"68,145,000",68145000
2022,JUL,STATE,39,6,TOTAL,"19,743,000",19743000
2022,JUL,STATE,,6,TOTAL,"218,204,000",218204000
2022,JUL,STATE,42,6,TOTAL,"37,541,000",37541000
2022,JUL,STATE,46,6,TOTAL,"43,834,000",43834000
2022,JUL,STATE,50,6,TOTAL,"12,185,000",12185000
2022,JUL,STATE,55,6,TOTAL,"284,877,000",284877000
2022,JUN,STATE,6,6,TOTAL,"204,646,000",204646000
2022,JUN,STATE,16,6,TOTAL,"84,149,000",84149000
2022,JUN,STATE,17,6,TOTAL,"5,900,000",5900000
2022,JUN,STATE,19,6,TOTAL,"32,197,000",32197000
2022,JUN,STATE,27,6,TOTAL,"66,771,000",66771000
2022,JUN,STATE,34,6,TOTAL,"4,722,000",4722000
2022,JUN,STATE,35,6,TOTAL,"79,427,000",79427000
2022,JUN,STATE,36,6,TOTAL,"67,288,000",67288000
2022,JUN,STATE,39,6,TOTAL,"19,831,000",19831000
2022,JUN,STATE,,6,TOTAL,"209,762,000",209762000
2022,JUN,STATE,42,6,TOTAL,"38,778,000",38778000
2022,JUN,STATE,46,6,TOTAL,"42,916,000",42916000
2022,JUN,STATE,50,6,TOTAL,"12,168,000",12168000
2022,JUN,STATE,55,6,TOTAL,"297,244,000",297244000
2022,MAR,STATE,6,6,TOTAL,"214,341,000",214341000
2022,MAR,STATE,16,6,TOTAL,"89,304,000",89304000
2022,MAR,STATE,17,6,TOTAL,"5,363,000",5363000
2022,MAR,STATE,19,6,TOTAL,"31,502,000",31502000
2022,MAR,STATE,27,6,TOTAL,"69,475,000",69475000
2022,MAR,STATE,34,6,TOTAL,"5,951,000",5951000
2022,MAR,STATE,35,6,TOTAL,"83,302,000",83302000
2022,MAR,STATE,36,6,TOTAL,"79,793,000",79793000
2022,MAR,STATE,39,6,TOTAL,"23,436,000",23436000
2022,MAR,STATE,,6,TOTAL,"216,825,000",216825000
2022,MAR,STATE,42,6,TOTAL,"39,774,000",39774000
2022,MAR,STATE,46,6,TOTAL,"48,032,000",48032000
2022,MAR,STATE,50,6,TOTAL,"12,728,000",12728000
2022,MAR,STATE,55,6,TOTAL,"311,348,000",311348000
2022,MAY,STATE,6,6,TOTAL,"213,552,000",213552000
2022,MAY,STATE,16,6,TOTAL,"76,745,000",76745000
2022,MAY,STATE,17,6,TOTAL,"5,970,000",5970000
2022,MAY,STATE,19,6,TOTAL,"33,961,000",33961000
2022,MAY,STATE,27,6,TOTAL,"68,978,000",68978000
2022,MAY,STATE,34,6,TOTAL,"4,251,000",4251000
2022,MAY,STATE,35,6,TOTAL,"84,173,000",84173000
2022,MAY,STATE,36,6,TOTAL,"78,387,000",78387000
2022,MAY,STATE,39,6,TOTAL,"22,493,000",22493000
2022,MAY,STATE,,6,TOTAL,"220,933,000",220933000
2022,MAY,STATE,42,6,TOTAL,"39,383,000",39383000
2022,MAY,STATE,46,6,TOTAL,"44,823,000",44823000
2022,MAY,STATE,50,6,TOTAL,"12,875,000",12875000
2022,MAY,STATE,55,6,TOTAL,"298,174,000",298174000
2022,NOV,STATE,6,6,TOTAL,"206,297,000",206297000
2022,NOV,STATE,16,6,TOTAL,"74,507,000",74507000
2022,NOV,STATE,17,6,TOTAL,"6,005,000",6005000
2022,NOV,STATE,19,6,TOTAL,"34,025,000",34025000
2022,NOV,STATE,27,6,TOTAL,"67,386,000",67386000
2022,NOV,STATE,34,6,TOTAL,"5,426,000",5426000
2022,NOV,STATE,35,6,TOTAL,"80,741,000",80741000
2022,NOV,STATE,36,6,TOTAL,"69,806,000",69806000
2022,NOV,STATE,39,6,TOTAL,"21,286,000",21286000
2022,NOV,STATE,,6,TOTAL,"214,023,000",214023000
2022,NOV,STATE,42,6,TOTAL,"35,348,000",35348000
2022,NOV,STATE,46,6,TOTAL,"42,752,000",42752000
2022,NOV,STATE,50,6,TOTAL,"12,568,000",12568000
2022,NOV,STATE,55,6,TOTAL,"285,983,000",285983000
